Market,Window,Horizon,Model,Period,MAE,R2,RMSE,N_samples
SP500,120,1,Bi-RNN,2023_AI_Wave,0.009436357766389847,0.927793025970459,0.01140610366251396,250
SP500,120,1,Bi-GRU,2023_AI_Wave,0.00829043798148632,0.9436598420143127,0.010075271221112311,250
SP500,120,1,Bi-LSTM,2023_AI_Wave,0.007221262902021408,0.9537010788917542,0.009133413762023713,250
SP500,120,1,PatchTST,2023_AI_Wave,0.016410548239946365,0.7659707069396973,0.02053443920015777,250
SP500,120,1,Mamba,2023_AI_Wave,0.007075818255543709,0.9584726691246033,0.008649972622101662,250
SP500,120,1,SNN,2023_AI_Wave,0.03969969227910042,-0.27169370651245117,0.0478673101320559,250
SP500,120,1,Ensemble,2023_AI_Wave,0.011702919378876686,0.8840314745903015,0.014454990323781563,250
SP500,120,5,ARIMA,2023_AI_Wave,0.011790614574422063,0.8785846788764687,0.014790555113026129,250
SP500,120,5,Bi-RNN,2023_AI_Wave,0.015590197406709194,0.7815481424331665,0.01939496008297087,246
SP500,120,5,Bi-GRU,2023_AI_Wave,0.01397837232798338,0.8337329626083374,0.016920535967862214,246
SP500,120,5,Bi-LSTM,2023_AI_Wave,0.018977181985974312,0.6907737255096436,0.023075399839923665,246
SP500,120,5,PatchTST,2023_AI_Wave,0.026862146332859993,0.3791094422340393,0.03269780127875725,246
SP500,120,5,Mamba,2023_AI_Wave,0.013441256247460842,0.8364289999008179,0.016782789992263295,246
SP500,120,5,SNN,2023_AI_Wave,0.04103171452879906,-0.5719555616378784,0.05202728424624499,246
SP500,120,5,Ensemble,2023_AI_Wave,0.020239483565092087,0.6431893706321716,0.024787339250774466,246
SP500,120,10,ARIMA,2023_AI_Wave,0.018082989494616186,0.7470209775108683,0.02134961180280766,250
SP500,120,10,Bi-RNN,2023_AI_Wave,0.027136577293276787,0.39296555519104004,0.03187627321451587,241
SP500,120,10,Bi-GRU,2023_AI_Wave,0.018738459795713425,0.7110956907272339,0.02199064220641005,241
SP500,120,10,Bi-LSTM,2023_AI_Wave,0.03161131218075752,0.16889625787734985,0.03729825357557024,241
